Title,Genre,Release Year,Rating,Viewership,Region,Age Group,Subscription Type,Watch Time (min),Completion Rate (%)
Show 116,Documentary,2001,2.1,909998,Europe,18-24,Premium,177.8,0.8
Show 117,Drama,2007,9.4,328860,Asia,18-24,Standard,153.7,0.72
Show 118,Documentary,2021,7.2,880584,Asia,18-24,Standard,179.1,0.51
Show 119,Sci-Fi,2007,5.8,31382,Asia,65+,Premium,55.2,0.48
Show 120,Documentary,2016,1.3,81675,Asia,45-54,Premium,51.6,0.17
Show 121,Drama,2014,5.3,551707,Europe,18-24,Standard,105.5,0.11
Show 122,Drama,2016,4.7,86238,Africa,35-44,Basic,125.8,0.58
Show 123,Sci-Fi,2022,2.5,230825,Africa,35-44,Basic,55.7,0.48
Show 124,Drama,2023,6.9,699651,Asia,18-24,Standard,159.1,0.82
Show 125,Drama,2012,9.7,279541,South America,25-34,Basic,109.8,0.59
Show 126,Action,2018,6.1,325032,North America,35-44,Premium,91.6,0.94
Show 127,Sci-Fi,2004,7.4,40169,Australia,25-34,Premium,120.3,0.28
Show 128,Thriller,2011,1.6,591470,South America,45-54,Premium,125.2,0.99
Show 129,Thriller,2000,4.8,883908,Australia,65+,Standard,36.4,0.37
Show 130,Drama,2022,2,833681,South America,35-44,Standard,180,0.68
Show 131,Thriller,2004,6.5,164413,South America,25-34,Standard,84.6,0.55
Show 132,Thriller,2007,9.4,867035,Africa,18-24,Basic,39.2,0.42
Show 133,Drama,2012,7,182216,North America,45-54,Standard,157.8,0.23
Show 134,Thriller,2007,1.7,459988,South America,55-64,Standard,179,0.22
Show 135,Documentary,2022,4.2,84360,Asia,55-64,Premium,152.5,0.74
Show 136,Comedy,2010,6,542732,Australia,18-24,Basic,157.8,0.44
Show 137,Sci-Fi,2000,4.6,443863,Africa,45-54,Basic,123.9,0.97
Show 138,Comedy,2012,8.5,128662,Australia,45-54,Premium,168.3,0.39
Show 139,Drama,2018,8.3,774776,Asia,45-54,Basic,35.4,0.99
Show 140,Action,2023,6.5,103843,Asia,45-54,Standard,145,0.28
Show 141,Sci-Fi,2002,4.4,802406,South America,55-64,Basic,130.6,0.19
Show 142,Drama,2023,3.3,641438,Asia,25-34,Premium,37.4,0.38
Show 143,Action,2016,2,436599,North America,45-54,Basic,111.6,0.9
Show 144,Comedy,2004,4.2,785908,Asia,25-34,Premium,107.3,0.57
Show 145,Drama,2019,4.7,624114,South America,45-54,Standard,133.7,0.22
Show 146,Sci-Fi,2020,7.1,479768,Australia,35-44,Standard,41.6,0.28
Show 147,Sci-Fi,2007,6.9,889080,Asia,65+,Premium,150.8,0.38
Show 148,Romance,2013,1.6,230121,Africa,35-44,Standard,50.9,0.63
Show 149,Documentary,2003,4.6,925460,Africa,65+,Standard,92.8,0.4
Show 150,Thriller,2010,2.6,930581,Africa,35-44,Basic,162.2,0.77
Show 151,Action,2019,2.4,827922,Australia,45-54,Standard,114.1,0.65
Show 152,Romance,2014,8.4,770723,Europe,25-34,Premium,86.9,0.89
Show 153,Thriller,2018,1.4,654001,Africa,65+,Standard,37.2,0.55
Show 154,Thriller,2006,4.8,60612,Africa,55-64,Basic,130.8,0.4
Show 155,Drama,2018,2.5,629762,Europe,18-24,Premium,178,1
Show 156,Thriller,2018,8.9,303303,Australia,65+,Standard,166.8,0.42
Show 157,Documentary,2010,6,568998,Africa,65+,Standard,137.6,0.49
Show 158,Sci-Fi,2004,3.1,936310,South America,55-64,Standard,45.8,0.83
Show 159,Romance,2004,5.5,642384,Australia,45-54,Premium,65.9,0.18
Show 160,Thriller,2021,7.6,214417,Africa,35-44,Basic,58,0.45
Show 161,Drama,2007,9.6,216463,Africa,35-44,Premium,83.3,0.18
Show 162,Documentary,2009,3,898844,Europe,25-34,Premium,65.3,0.23
Show 163,Comedy,2005,9,624212,South America,45-54,Basic,66.7,0.1
Show 164,Sci-Fi,2014,9.4,273602,Australia,55-64,Premium,122.5,0.11
Show 165,Sci-Fi,2015,9.2,922425,Asia,45-54,Premium,77.8,0.44
Show 166,Romance,2016,6.7,302668,North America,45-54,Standard,131.6,0.83
Show 167,Sci-Fi,2007,6.7,667213,South America,35-44,Premium,172.2,0.63
Show 168,Thriller,2007,4.6,307621,Asia,55-64,Standard,125.8,0.67
Show 169,Drama,2008,7.8,299366,South America,18-24,Premium,142.7,0.57
Show 170,Sci-Fi,2001,5.8,547608,Asia,65+,Standard,142.7,0.84
Show 171,Sci-Fi,2014,7.1,99154,Asia,35-44,Standard,79.6,0.89
Show 172,Comedy,2017,4.9,581531,South America,55-64,Standard,32.2,0.86
Show 173,Comedy,2002,7.6,705975,Europe,25-34,Basic,38.3,0.83
Show 174,Action,2016,8.4,415568,South America,65+,Premium,72.3,0.26
Show 175,Documentary,2003,2.3,602121,South America,65+,Premium,133.4,0.63
Show 176,Thriller,2003,8.5,98476,Asia,35-44,Premium,166,0.62
Show 177,Sci-Fi,2013,5.9,119560,North America,25-34,Basic,173.8,0.58
Show 178,Sci-Fi,2008,8.6,925707,Asia,35-44,Standard,33.9,0.53
Show 179,Drama,2008,4.9,306411,Africa,45-54,Premium,178.5,0.18
Show 180,Action,2022,4.4,567229,South America,55-64,Basic,78.4,0.19
Show 181,Documentary,2017,9.2,874241,Australia,25-34,Basic,156.4,0.91
Show 182,Action,2009,3.3,554656,South America,65+,Premium,57,0.67
Show 183,Romance,2020,8.6,868618,Europe,35-44,Standard,39.4,0.34
Show 184,Documentary,2003,5.4,298128,Australia,65+,Basic,86.8,0.35
Show 185,Sci-Fi,2011,5.6,440157,Asia,25-34,Premium,158.8,0.65
Show 186,Sci-Fi,2007,3.8,208990,Europe,65+,Standard,63.1,0.47
Show 187,Documentary,2001,6.2,450899,South America,35-44,Basic,53.1,0.5
Show 188,Sci-Fi,2021,3.9,262481,Asia,35-44,Basic,166.5,0.15
Show 189,Thriller,2012,1.4,5801,Asia,18-24,Premium,170.8,0.22
Show 190,Documentary,2020,3.4,635826,Africa,65+,Premium,31.9,0.45
Show 191,Action,2015,1.1,903633,Africa,18-24,Standard,139.1,0.73
Show 192,Documentary,2001,9.8,839397,North America,18-24,Premium,76.4,0.14
Show 193,Sci-Fi,2010,9.7,614557,Africa,65+,Premium,86.2,0.4
Show 194,Thriller,2009,4.6,783053,Australia,25-34,Standard,100.4,0.73
Show 195,Thriller,2014,7.6,932473,Asia,45-54,Premium,94,0.81
Show 196,Romance,2016,4.1,303113,Africa,35-44,Standard,107.2,0.27
Show 197,Action,2007,7,480485,North America,55-64,Standard,117.4,0.76
Show 198,Comedy,2017,8.2,954953,South America,18-24,Standard,99.8,0.96
Show 199,Comedy,2022,9.5,96679,Australia,25-34,Premium,135.2,0.92
Show 200,Documentary,2008,4.6,686065,Africa,65+,Standard,137.8,0.81
Show 201,Romance,2007,8,720663,Asia,25-34,Premium,96.1,0.74
Show 202,Drama,2013,3.4,295507,South America,25-34,Standard,51.4,0.31
Show 203,Documentary,2017,9.9,166792,Asia,65+,Premium,126.1,0.67
Show 204,Romance,2021,1.2,932476,South America,55-64,Standard,145.9,0.68
Show 205,Action,2019,6.4,562639,Australia,65+,Basic,125.7,0.47
Show 206,Action,2019,6.9,640311,Asia,55-64,Basic,118.2,0.54
Show 207,Action,2020,7.2,696505,Africa,65+,Basic,64.4,0.72
Show 208,Action,2011,2.1,617236,Africa,18-24,Standard,126.8,0.96
Show 209,Action,2018,9.4,749974,North America,55-64,Premium,80.2,0.37
Show 210,Romance,2013,2.6,224188,South America,18-24,Standard,167.9,0.32
Show 211,Romance,2016,6.6,847667,North America,55-64,Standard,128.1,0.64
Show 212,Thriller,2023,3,281999,Europe,55-64,Standard,71.7,0.22
Show 213,Comedy,2020,3.8,434385,Africa,65+,Standard,100.9,0.62
Show 214,Sci-Fi,2002,5.9,266677,South America,55-64,Premium,157,0.18
Show 215,Action,2022,4.8,182476,Australia,18-24,Standard,80.3,0.54
Show 216,Drama,2006,2.4,155641,North America,65+,Basic,108.8,0.66
Show 217,Sci-Fi,2016,2.5,654362,Australia,35-44,Basic,132,0.16
Show 218,Romance,2011,4.8,789366,Australia,18-24,Basic,143.2,0.29
Show 219,Drama,2008,7.8,583725,Australia,35-44,Standard,56.1,0.4
Show 220,Drama,2014,9.1,971010,North America,25-34,Premium,114.8,0.43
Show 221,Drama,2017,1.8,161810,Europe,65+,Premium,166.8,0.71
Show 222,Thriller,2020,4.5,929276,North America,25-34,Premium,175.3,0.58
Show 223,Romance,2012,1.9,95410,Asia,65+,Standard,128.4,0.44
Show 224,Drama,2020,1.1,24731,Africa,65+,Premium,177.5,0.51
Show 225,Action,2007,7,670491,North America,18-24,Basic,115.6,0.11
Show 226,Documentary,2013,6.4,857756,North America,35-44,Premium,96.4,0.79
Show 227,Drama,2007,2.5,190169,Europe,65+,Standard,112.7,0.14
Show 228,Thriller,2013,3.1,873152,Asia,35-44,Standard,47.4,0.85
Show 229,Sci-Fi,2006,1.2,887865,North America,65+,Premium,90.3,0.59
Show 230,Romance,2022,8.5,270033,Africa,35-44,Standard,98.8,0.58
Show 231,Thriller,2011,9.8,538857,Africa,25-34,Premium,157.3,0.73
Show 232,Drama,2010,2.2,878625,North America,18-24,Premium,143.8,0.87
Show 233,Romance,2021,3.1,211749,Australia,65+,Basic,120.2,0.95
Show 234,Documentary,2021,8.8,90192,Australia,45-54,Standard,82.1,0.59
Show 235,Drama,2010,9.3,784117,Asia,35-44,Basic,58.1,0.24
Show 236,Thriller,2021,4.8,92154,Africa,35-44,Standard,82.2,0.89
Show 237,Comedy,2012,1.5,213542,Australia,45-54,Premium,132,0.14
Show 238,Action,2017,1.4,113073,Africa,18-24,Standard,69.5,0.83
Show 239,Sci-Fi,2001,6.2,224894,Asia,35-44,Premium,94,0.71
Show 240,Thriller,2020,4.5,524235,Asia,18-24,Standard,88,0.91
Show 241,Romance,2014,1.3,799044,Australia,35-44,Basic,144.8,0.91
Show 242,Drama,2019,6.2,580932,North America,55-64,Basic,162.6,0.15
Show 243,Action,2017,1.1,561357,South America,35-44,Premium,134.9,0.65
Show 244,Drama,2014,8.1,873173,Europe,55-64,Basic,81.2,0.21
Show 245,Romance,2018,3.8,425547,South America,65+,Premium,95,0.17
Show 246,Drama,2022,1.4,847329,South America,18-24,Premium,51.5,0.5
Show 247,Comedy,2023,6.3,150006,Africa,35-44,Premium,55.2,0.19
Show 248,Action,2011,4.6,408311,Asia,25-34,Standard,54.6,0.76
Show 249,Action,2012,9.8,489710,Africa,25-34,Premium,49.6,0.97
Show 250,Romance,2021,5.9,893976,Australia,45-54,Basic,56.9,0.61
Show 251,Sci-Fi,2010,3.5,547994,Europe,25-34,Standard,60.4,0.31
Show 252,Comedy,2004,7.4,179588,Australia,55-64,Basic,46.8,0.86
Show 253,Thriller,2000,3.4,632890,North America,25-34,Premium,126,0.87
Show 254,Drama,2023,9.1,495224,Europe,25-34,Premium,178.6,0.76
Show 255,Documentary,2002,4.4,301773,Africa,25-34,Basic,161.9,0.65
Show 256,Drama,2021,5.9,445126,Africa,35-44,Standard,36.8,0.88
Show 257,Drama,2018,1.5,486756,Australia,45-54,Basic,93.5,0.25
Show 258,Thriller,2022,4.8,129746,Africa,18-24,Premium,158.9,0.94
Show 259,Drama,2006,8.5,549719,Africa,45-54,Standard,50.2,0.95
Show 260,Comedy,2011,8.3,192805,South America,55-64,Premium,157.1,0.88
Show 261,Comedy,2014,3,569376,North America,35-44,Premium,118.9,0.33
Show 262,Action,2004,3,704495,South America,65+,Basic,169.7,0.87
Show 263,Romance,2014,8.4,436231,Africa,35-44,Premium,161.4,0.55
Show 264,Sci-Fi,2007,9.4,760398,Asia,25-34,Basic,131.6,0.64
Show 265,Documentary,2009,1.9,560673,South America,25-34,Standard,128.7,0.86
Show 266,Drama,2015,5.1,337343,Africa,55-64,Premium,62,0.13
Show 267,Drama,2007,4,305821,Africa,65+,Premium,47.5,0.43
Show 268,Thriller,2000,8.8,123104,North America,35-44,Standard,92.3,0.83
Show 269,Romance,2011,1.8,17818,Australia,65+,Basic,58,0.83
Show 270,Comedy,2004,2.9,486438,Europe,18-24,Premium,45.4,0.86
Show 271,Documentary,2002,7.8,330145,South America,45-54,Standard,75.3,0.25
Show 272,Action,2000,1.5,160049,South America,35-44,Premium,159.1,0.74
Show 273,Comedy,2003,5.4,579120,South America,65+,Basic,32.6,0.23
Show 274,Romance,2007,5,832363,Africa,18-24,Basic,73.9,0.81
Show 275,Sci-Fi,2002,4,613278,North America,18-24,Basic,93.6,0.32
Show 276,Action,2009,4.6,214966,Africa,45-54,Basic,106.6,0.76
Show 277,Sci-Fi,2001,5.8,77204,Africa,18-24,Standard,57.2,0.51
Show 278,Thriller,2010,2.5,50784,Australia,55-64,Premium,174.6,0.99
Show 279,Thriller,2009,6.1,897737,Asia,18-24,Standard,116.8,0.62
Show 280,Drama,2020,8.2,14921,North America,65+,Basic,108.3,0.67
Show 281,Sci-Fi,2013,7.8,826391,South America,55-64,Basic,31.3,0.43
Show 282,Romance,2006,2.4,823760,Europe,18-24,Basic,102.9,0.76
Show 283,Documentary,2001,2.3,931363,South America,25-34,Basic,155.7,0.55
Show 284,Action,2008,3.4,260564,Africa,18-24,Premium,62.9,0.12
Show 285,Comedy,2015,4.2,618794,North America,55-64,Basic,82.7,0.65
Show 286,Romance,2012,4.7,79408,North America,18-24,Premium,33.1,0.85
Show 287,Romance,2008,7.1,653140,North America,18-24,Basic,176.5,0.31
Show 288,Thriller,2019,1.5,745126,Asia,18-24,Premium,40,0.3
Show 289,Sci-Fi,2003,1.3,555996,South America,55-64,Premium,164.7,0.65
Show 290,Drama,2021,4.5,548135,Asia,18-24,Basic,76.9,0.84
Show 291,Drama,2009,7.3,585277,Australia,45-54,Standard,118.1,0.32
Show 292,Action,2021,2.7,916815,Europe,65+,Standard,131.9,0.94
Show 293,Thriller,2011,6.8,9922,Australia,45-54,Standard,51.1,0.93
Show 294,Romance,2016,3.3,468144,Africa,55-64,Standard,96.6,0.28
Show 295,Documentary,2013,9,57335,Asia,25-34,Standard,78.8,0.34
Show 296,Thriller,2013,9.1,918345,Asia,45-54,Basic,38.5,0.73
Show 297,Action,2001,3.7,936045,Australia,65+,Basic,155,0.96
Show 298,Action,2020,3.1,810983,Africa,35-44,Basic,36.8,0.74
Show 299,Thriller,2019,4.7,155453,North America,65+,Basic,128,0.5
Show 300,Action,2010,3.2,904751,Africa,45-54,Basic,77.1,0.25
Show 301,Thriller,2015,7.1,322817,South America,35-44,Basic,58.8,0.51
Show 302,Comedy,2018,8.4,892963,Australia,55-64,Premium,130.1,0.65
Show 303,Thriller,2022,7.1,27948,Africa,65+,Premium,116.2,0.4
Show 304,Sci-Fi,2005,8.4,621552,North America,25-34,Basic,77.3,0.56
Show 305,Thriller,2023,4.6,64072,Africa,35-44,Basic,106.9,0.22
Show 306,Action,2018,2.4,334704,Asia,35-44,Premium,66.9,0.51
Show 307,Sci-Fi,2004,7.6,742609,Europe,65+,Premium,159.6,0.18
Show 308,Action,2003,4.2,662846,Asia,45-54,Basic,77.1,0.14
Show 309,Drama,2014,7,71691,Europe,35-44,Premium,66.8,0.87
Show 310,Drama,2003,3.4,670442,Africa,55-64,Standard,142.8,0.28
Show 311,Sci-Fi,2019,1.7,894213,South America,65+,Standard,32.6,0.62
Show 312,Comedy,2009,9.9,351249,Africa,55-64,Standard,70.2,0.23
Show 313,Drama,2023,2.4,12086,North America,65+,Premium,86.3,0.34
Show 314,Thriller,2021,9.9,394962,Africa,55-64,Basic,162.3,0.43
Show 315,Action,2002,9.8,597141,Europe,45-54,Basic,172.6,0.23
Show 316,Drama,2004,8.1,369069,Asia,65+,Basic,137.5,0.14
Show 317,Drama,2005,6.9,337171,South America,25-34,Premium,103.9,0.89
Show 318,Comedy,2020,6.2,283060,Africa,45-54,Premium,126.1,0.11
Show 319,Sci-Fi,2021,8.8,806680,Africa,55-64,Standard,92.1,0.16
Show 320,Sci-Fi,2007,3.6,990551,Asia,65+,Premium,74.8,0.82
Show 321,Romance,2006,5.2,815658,South America,45-54,Standard,172.6,0.35
Show 322,Comedy,2020,6.6,947529,Australia,55-64,Standard,47.3,0.75
Show 323,Thriller,2009,4.7,768210,Africa,18-24,Basic,82,0.23
Show 324,Sci-Fi,2005,4.8,577668,Africa,18-24,Premium,164.9,0.31
Show 325,Action,2013,4,799280,Australia,35-44,Basic,138.5,0.62
Show 326,Comedy,2003,6.1,543562,Europe,25-34,Basic,34.4,0.99
Show 327,Drama,2012,8.7,321689,Europe,18-24,Premium,33.5,0.17
Show 328,Action,2019,2.8,789403,North America,55-64,Premium,107.5,0.46
Show 329,Action,2016,9.4,101494,Asia,45-54,Standard,102.6,0.14
Show 330,Drama,2022,7.2,120981,South America,65+,Standard,96.4,0.28
Show 331,Comedy,2006,8.4,171305,Africa,45-54,Standard,75.4,0.92
Show 332,Drama,2003,6,21304,Africa,35-44,Standard,178,0.19
Show 333,Romance,2013,8,278438,North America,45-54,Basic,70.8,0.87
Show 334,Action,2002,1.1,293569,Africa,18-24,Basic,103.5,0.26
Show 335,Documentary,2023,8.4,729071,Asia,45-54,Premium,90.7,0.88
Show 336,Documentary,2004,1.4,115777,North America,18-24,Standard,55.5,0.58
Show 337,Thriller,2015,9,407641,Asia,18-24,Standard,60.4,0.89
Show 338,Sci-Fi,2022,9.9,620837,North America,25-34,Standard,167.7,0.24
Show 339,Drama,2019,3.6,622752,Africa,35-44,Basic,158.7,0.79
Show 340,Drama,2003,2.9,967494,North America,55-64,Premium,59.9,0.71
Show 341,Thriller,2023,7.9,636036,Europe,18-24,Basic,161.3,0.59
Show 342,Thriller,2023,3.3,471962,South America,65+,Premium,61.4,0.83
Show 343,Thriller,2001,8.8,859727,Africa,35-44,Premium,124,0.68
Show 344,Action,2017,1.9,807523,Australia,55-64,Basic,42.2,0.89
Show 345,Romance,2018,2.1,911375,South America,65+,Basic,162.1,0.44
Show 346,Drama,2018,9.8,259174,Africa,45-54,Premium,37.7,0.63
Show 347,Action,2016,7.1,660362,South America,35-44,Basic,113.2,0.88
Show 348,Thriller,2013,8.6,258890,Europe,65+,Basic,147,0.29
Show 349,Drama,2018,3.9,579699,South America,35-44,Premium,47.5,0.54
Show 350,Action,2021,7.1,439174,North America,35-44,Premium,90.7,0.96
Show 351,Romance,2023,6.3,263901,South America,45-54,Standard,36.3,0.53
Show 352,Action,2012,6.4,100696,Africa,45-54,Basic,132.4,0.33
Show 353,Romance,2011,7.1,681067,Australia,35-44,Premium,76.1,0.42
Show 354,Thriller,2005,6.2,675608,Australia,65+,Basic,113.9,0.9
Show 355,Romance,2020,4.9,600597,Asia,25-34,Basic,169.9,0.96
Show 356,Drama,2003,3.5,738682,South America,18-24,Premium,75.9,0.96
Show 357,Thriller,2018,7.9,974224,Australia,45-54,Standard,37.3,0.73
